rank,vendor,comparison_unit,entry_E_12,artifact_task_depth_A_12,semantic_governance_S_14,identity_delegation_I_14,tool_plane_T_10,safe_actions_X_10,assurance_Q_12,operations_O_6,maturity_M_6,federation_F_4,weighted_total_100,uncertainty_pm,momentum_10,direction_alignment_10,evidence_state,dominant_strength,main_gap
1,Snowflake,"Snowflake Intelligence + Cortex Agents + Snowflake managed MCP",9.0,9.5,9.5,8.5,9.5,8.5,10.0,9.0,8.5,8.5,91.3,3,10.0,10.0,"official docs; mixed GA/preview","agent versions, evaluations, traces and governed actions","some identity/action capabilities remain new or preview; default-role semantics need care"
2,Databricks,"Genie One + AI/BI + Unity Catalog + Agent Framework/MCP + Lakebase",10.0,9.0,10.0,9.0,10.0,7.0,9.0,9.0,8.0,8.0,90.6,3,9.8,10.0,"official docs; mixed GA/beta/preview","one consumption entry over catalog, semantics, analytics and agents","safe action plane and cross-surface identity are still maturing; several key functions are beta/preview"
3,Google Cloud,"Gemini Enterprise + BigQuery/Looker data agents + database agents/APIs",8.5,9.5,8.5,9.0,9.5,7.0,8.0,8.5,8.0,9.5,85.9,4,9.8,9.5,"official docs/blogs; mixed GA/preview","reasoning, multimodal data breadth, APIs and database coverage","semantic/governance plane is distributed; proactive actions are not uniformly mature"
4,AWS,"Amazon Quick Suite + Quick Sight/Research/Flows/Automate + Bedrock AgentCore",9.5,8.5,8.0,8.5,9.5,9.0,7.0,8.5,7.5,9.5,85.0,4,9.3,10.0,"official docs; new product family","chat-primary work assistant, connectors and graduated autonomy","data-answer assurance and semantic regression are less unified than the leading data-cloud platforms"
5,Microsoft,"Microsoft 365 Copilot + Fabric data agent + Foundry/Copilot Studio + Purview",9.5,7.0,9.0,9.5,8.5,7.5,8.0,8.5,8.0,8.0,84.4,4,9.0,9.0,"official docs/roadmap; mixed GA/preview","workplace distribution, Entra identity, OBO and compliance","Fabric data agent is read-only and has material data/result/language limits"
6,Alibaba Cloud,"Quick BI Smart Q + Quick BI Skill/CLI + DataWorks data agent + DMS MCP",9.0,9.0,8.0,7.0,9.0,9.0,7.0,8.0,8.0,8.0,81.8,5,9.5,9.5,"official docs; product-combination evidence","unified BI agents plus external Skill/CLI and governed database workflows","end-user identity continuity and one shared semantic/policy/trace plane are not publicly proven"
7,Tencent Cloud,"DataBuddy + DatabaseClaw + Tencent Cloud agent platform",9.0,8.0,9.0,7.5,8.0,9.5,6.5,7.5,5.5,7.5,79.6,7,9.8,10.0,"official docs; very recent launch","agent-native data platform direction and explicit database action safety levels","launch-burst evidence is not yet sustained maturity; unified evaluation and production evidence are limited"
8,Oracle,"Oracle Analytics AI Agents + Select AI Agents + Database Tools MCP",6.5,8.0,8.0,9.5,9.0,7.5,6.5,8.0,8.0,8.0,79.0,5,8.7,8.5,"official docs; multiple product surfaces","database-native end-user identity, short-lived OBO and deep database security","consumer entry is fragmented and public agent evaluation/versioning evidence is weaker"
9,Volcano Engine,"DataWind intelligent analysis + embedding/API + adjacent agent platform",7.5,8.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0,68.6,6,7.8,8.0,"official docs; scoped evidence","focused conversational analytics, deep research and embedding","governed action/MCP plane and agent version/evaluation are not publicly closed-loop"
10,Huawei Cloud portfolio,"DataArts Insight/Studio + AgentArts + DAS/DWS MCP",6.5,7.0,7.5,5.5,7.5,5.5,8.0,7.0,6.0,7.0,67.6,6,9.0,8.0,"official docs; disconnected product-combination evidence","AgentArts gateway, trace/evaluation loop and broad data/database components","one entry and shared end-user identity, semantic objects, policy, trace and action lifecycle are not publicly proven"
11,Baidu AI Cloud,"Baidu Shengsuan/DataBuilder + publicly documented adjacent analytics capabilities",7.0,7.0,7.0,6.0,6.5,6.0,5.0,6.0,5.0,7.0,62.9,9,7.5,8.5,"official product claims; insufficient implementation detail","ontology/logic/action/governance direction","current API, identity, evaluation, maturity and end-to-end evidence are sparse"
,Huawei DataArts direct journey,"DataArts user-facing journey only; diagnostic row, not ranked",6.5,6.5,7.5,5.5,5.5,2.0,5.5,6.5,6.0,5.5,57.6,7,7.5,7.5,"official docs; no account observation","existing analytics/governance assets and an assistant entry","no publicly proven full agent tool/action/evaluation plane inside the direct DataArts journey"
