ticket_id,customer_id,order_id,created_ts,category,priority,channel,sentiment,status,resolution_minutes,summary
T000001,C00092,,2026-01-13T13:48:00,物流,P2,email,neutral,resolved,1171,客户反馈物流状态长时间未更新，请协助核查。
T000002,C00040,,2026-08-10T06:40:00,产品故障,P4,chat,negative,resolved,2470,设备在使用中出现间歇性故障，需要排查和售后建议。
T000003,C00239,O0000779,2026-01-06T05:42:00,发票,P2,email,neutral,open,,客户申请变更发票信息并重新开具。
T000004,C00156,O0001053,2026-01-14T15:21:00,退款,P3,phone,neutral,resolved,579,客户询问退款进度，希望确认预计到账时间。
T000005,C00165,O0000279,2026-03-11T02:32:00,退款,P3,email,negative,closed,1402,客户询问退款进度，希望确认预计到账时间。
T000006,C00289,O0000739,2026-01-05T10:45:00,产品故障,P2,app,neutral,resolved,3527,设备在使用中出现间歇性故障，需要排查和售后建议。
T000007,C00105,O0000254,2026-04-02T13:07:00,安装配置,P4,phone,negative,resolved,359,客户需要产品安装与网络配置指导。
T000008,C00015,O0001041,2026-01-05T21:07:00,退款,P3,chat,neutral,closed,706,客户询问退款进度，希望确认预计到账时间。
T000009,C00188,O0001278,2026-04-18T03:51:00,账号,P3,phone,neutral,resolved,620,客户无法访问订阅服务，需要确认账号状态。
T000010,C00072,O0000786,2026-04-27T23:15:00,物流,P3,chat,negative,resolved,93,客户反馈物流状态长时间未更新，请协助核查。
T000011,C00220,O0000483,2026-03-31T06:43:00,退款,P3,phone,neutral,resolved,1532,客户询问退款进度，希望确认预计到账时间。
T000012,C00050,O0001568,2026-03-12T00:24:00,产品故障,P4,app,negative,open,,设备在使用中出现间歇性故障，需要排查和售后建议。
T000013,C00112,O0001061,2026-05-29T02:18:00,物流,P3,email,neutral,resolved,1328,客户反馈物流状态长时间未更新，请协助核查。
T000014,C00096,O0000628,2026-08-09T19:32:00,物流,P2,chat,neutral,closed,1473,客户反馈物流状态长时间未更新，请协助核查。
T000015,C00127,O0001677,2026-01-26T19:58:00,退款,P2,chat,negative,waiting_customer,,客户询问退款进度，希望确认预计到账时间。
T000016,C00152,O0002066,2026-07-31T23:48:00,退款,P3,phone,positive,resolved,1192,客户询问退款进度，希望确认预计到账时间。
T000017,C00157,O0000428,2026-06-09T00:38:00,退款,P4,phone,negative,resolved,212,客户询问退款进度，希望确认预计到账时间。
T000018,C00262,,2026-01-27T13:00:00,退款,P4,chat,neutral,open,,客户询问退款进度，希望确认预计到账时间。
T000019,C00223,O0001403,2026-05-27T14:11:00,账号,P3,chat,neutral,open,,客户无法访问订阅服务，需要确认账号状态。
T000020,C00112,O0000263,2026-02-17T12:23:00,安装配置,P4,phone,neutral,closed,1572,客户需要产品安装与网络配置指导。
T000021,C00105,,2026-01-28T07:12:00,退款,P4,phone,negative,resolved,2134,客户询问退款进度，希望确认预计到账时间。
T000022,C00175,O0002134,2026-03-07T08:27:00,退款,P4,phone,negative,resolved,498,客户询问退款进度，希望确认预计到账时间。
T000023,C00239,,2026-03-07T04:23:00,账号,P3,app,neutral,resolved,2793,客户无法访问订阅服务，需要确认账号状态。
T000024,C00137,O0000153,2026-03-21T06:11:00,安装配置,P1,app,negative,resolved,1553,客户需要产品安装与网络配置指导。
T000025,C00280,O0000484,2026-08-12T22:33:00,产品故障,P3,app,negative,resolved,1896,设备在使用中出现间歇性故障，需要排查和售后建议。
T000026,C00124,O0001145,2026-01-22T20:08:00,安装配置,P3,chat,negative,resolved,1074,客户需要产品安装与网络配置指导。
T000027,C00117,,2026-04-19T14:18:00,安装配置,P3,email,negative,resolved,1733,客户需要产品安装与网络配置指导。
T000028,C00124,O0002295,2026-01-31T07:10:00,安装配置,P3,app,negative,resolved,1616,客户需要产品安装与网络配置指导。
T000029,C00109,O0001055,2026-06-01T06:31:00,安装配置,P4,email,neutral,resolved,832,客户需要产品安装与网络配置指导。
T000030,C00027,,2026-02-16T01:58:00,账号,P3,app,negative,closed,1868,客户无法访问订阅服务，需要确认账号状态。
T000031,C00029,,2026-07-11T10:15:00,退款,P2,email,neutral,resolved,1908,客户询问退款进度，希望确认预计到账时间。
T000032,C00019,O0002334,2026-03-17T16:34:00,物流,P3,email,negative,resolved,2121,客户反馈物流状态长时间未更新，请协助核查。
T000033,C00144,,2026-07-06T12:33:00,安装配置,P3,app,neutral,waiting_customer,,客户需要产品安装与网络配置指导。
T000034,C00062,O0001748,2026-07-02T09:34:00,安装配置,P2,email,negative,closed,2265,客户需要产品安装与网络配置指导。
T000035,C00042,O0001971,2026-03-16T01:54:00,发票,P4,chat,neutral,resolved,815,客户申请变更发票信息并重新开具。
T000036,C00259,O0001592,2026-04-28T17:25:00,安装配置,P4,phone,negative,resolved,1035,客户需要产品安装与网络配置指导。
T000037,C00229,O0002374,2026-06-28T01:23:00,退款,P3,app,neutral,closed,1046,客户询问退款进度，希望确认预计到账时间。
T000038,C00044,O0001081,2026-03-14T23:22:00,产品故障,P4,app,neutral,open,,设备在使用中出现间歇性故障，需要排查和售后建议。
T000039,C00047,,2026-01-25T21:58:00,账号,P4,phone,neutral,resolved,1254,客户无法访问订阅服务，需要确认账号状态。
T000040,C00067,O0001273,2026-02-23T11:54:00,物流,P3,email,negative,resolved,2506,客户反馈物流状态长时间未更新，请协助核查。
T000041,C00031,O0001417,2026-01-25T00:25:00,产品故障,P2,chat,neutral,resolved,3543,设备在使用中出现间歇性故障，需要排查和售后建议。
T000042,C00180,O0002359,2026-02-24T22:59:00,安装配置,P3,app,positive,closed,1774,客户需要产品安装与网络配置指导。
T000043,C00157,O0001540,2026-05-05T10:19:00,产品故障,P4,phone,neutral,closed,1389,设备在使用中出现间歇性故障，需要排查和售后建议。
